PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2040,Pumped_Hydro_Fixed_Cost_Annual,annual,19186289.54946108,35692150.30010912
2040,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2040,StorageEnergyFixedCost,annual,24322018.977824148,45246119.87746165
2040,TotalGenCapitalCostsSubsidy,annual,-15284513.964045854,-28433698.358532522
2040,TotalGenFixedCosts,annual,423269410.086798,787405785.9551517
2040,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2041,FuelCostsPerPeriod,annual,131060349.34915516,251125182.15440127
2041,GenVariableOMCostsInTP,timepoint,33545794.183066685,64277210.58711629
2041,Pumped_Hydro_Fixed_Cost_Annual,annual,18627465.58200105,35692150.30010912
2041,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2041,StorageEnergyFixedCost,annual,27925015.74773427,53507217.86672468
2041,TotalGenCapitalCostsSubsidy,annual,-16566413.037924752,-31742960.494563334
2041,TotalGenFixedCosts,annual,433998379.50397205,831585774.4076166
2041,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2042,FuelCostsPerPeriod,annual,103061012.16157691,203399823.42514333
2042,GenVariableOMCostsInTP,timepoint,31457331.258985348,62083764.64877483
2042,Pumped_Hydro_Fixed_Cost_Annual,annual,18084918.040777717,35692150.30010912
2042,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2042,StorageEnergyFixedCost,annual,31238077.958625883,61651049.29266541
2042,TotalGenCapitalCostsSubsidy,annual,-17780896.60282484,-35092137.69107201
2042,TotalGenFixedCosts,annual,439178208.4058498,866756188.0905348
2042,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2043,FuelCostsPerPeriod,annual,84390843.136224,171549208.56654066
2043,GenVariableOMCostsInTP,timepoint,29967050.340858325,60916843.32089907
2043,Pumped_Hydro_Fixed_Cost_Annual,annual,17558172.855123997,35692150.30010912
2043,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2043,StorageEnergyFixedCost,annual,34278694.1806134,69681527.5075095
2043,TotalGenCapitalCostsSubsidy,annual,-18869218.969587974,-38357237.11488931
2043,TotalGenFixedCosts,annual,453300973.3747969,921467547.129052
2043,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2044,FuelCostsPerPeriod,annual,71623802.98541243,149964337.92875838
2044,GenVariableOMCostsInTP,timepoint,28918967.293130685,60549895.466749184
2044,Pumped_Hydro_Fixed_Cost_Annual,annual,17046769.762256306,35692150.30010912
2044,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2044,StorageEnergyFixedCost,annual,37062198.628393225,77600013.51259053
2044,TotalGenCapitalCostsSubsidy,annual,-19864593.279855985,-41592046.99091994
2044,TotalGenFixedCosts,annual,465982317.6070163,975663492.2146925
2044,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2045,FuelCostsPerPeriod,annual,37297280.6582588,80434989.77073283
2045,GenVariableOMCostsInTP,timepoint,27781936.525455773,59914281.70625527
2045,Pumped_Hydro_Fixed_Cost_Annual,annual,16550261.90510321,35692150.30010912
2045,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2045,StorageEnergyFixedCost,annual,39602781.51974736,85407012.79593386
2045,TotalGenCapitalCostsSubsidy,annual,-20766204.33442297,-44784214.92764769
2045,TotalGenFixedCosts,annual,470687019.8494228,1015079516.7535009
2045,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
